type,nb_photo,prix,code.postal,transport.0,transport.1,transport.2,nb_pieces,nb_chambres,surface,lat,lon,url,Latitude_transport.0,Longitude_transport.0,Latitude_transport.1,Longitude_transport.1,Latitude_transport.2,Longitude_transport.2,distance_station_0,distance_station_1,distance_station_2,Cathédrale Notre-Dame de Paris,Basilique du Sacré-Cœur de Montmartre,Musée du Louvre,Tour Eiffel,Centre Pompidou,Musée d’Orsay,Cité des sciences et de l’industrie,Chapelle Notre-Dame de la Médaille miraculeuse,Grand site du Jardin des plantes,Arc de triomphe,Grand Palais,distance_université_plus_près
appartement,6,700000,75020,ADRIENNE BOLLAND,SAINT-FARGEAU,SEVERINE,5,3,92,48.871436,2.410167,/annonces/appartement-paris-20e-75020-r430401018,48.872169148699996,2.408597764245,48.871861525,2.4044011152599998,48.86742811395,2.408952250135,140.93497488403762,424.8282469050948,454.9360397535377,4860.769577225952,5205.34930727254,5405.352593823985,8596.424813576023,4393.829145472139,6253.635513775707,3156.845334123806,6787.930762549904,5040.560199861228,8433.696446356307,7195.881616521813,5055.293516684372
appartement,6,470000,75020,ALEXANDRE-DUMAS,AVRON,BUZENVAL,3,2,44,48.855618,2.396737,/annonces/appartement-paris-20e-r430400245,48.8564263483,2.39455425765,48.8512535723,2.3985569810033334,48.852041554799996,2.4012499154299998,183.45551115559243,503.8027266981483,517.4668962706784,3435.660194507593,5246.5467043706185,4343.677013795386,7493.851634679127,3288.7428204822986,5160.375444760666,4513.48377998295,5432.532320650959,3379.159976171903,7717.034983289994,6299.756475022611,3047.0306078777294
appartement,12,985000,75017,ARGENTINE,PORTE MAILLOT - PALAIS DES CONGRES,PORTE MAILLOT - PALAIS DES CONGRES,3,2,83,48.878108,2.289385,/annonces/appartement-paris-17e-r429101000,48.875690336,2.2891353116433333,48.87800699753333,2.28428693742,48.87800699753333,2.28428693742,269.7532368884448,373.40254599138086,373.40254599138086,5245.46088433942,4043.603789321448,4031.2490713742814,2240.957873448785,5014.278982438903,3393.9962036614133,7479.1544925228445,3904.3474140188746,5825.621797580988,635.189349563755,2136.549093688369,1370.5793115515528
appartement,12,650000,75018,BARBES - ROCHECHOUART,CHATEAU ROUGE,ANVERS,2,1,56,48.884905,2.347959,/annonces/appartement-paris-18e-limite-9e-r429900807,48.883767742875,2.349447653865,48.8875536061,2.3494837515299998,48.8828716902,2.3441635728,167.03934551489323,315.2591005462221,358.36381628292816,3554.791338267,419.19803978117113,2742.838183869795,4911.18988811636,2726.6499557039006,3191.66209755712,3168.0903223226574,4211.476582445972,4292.924845543444,4067.4961304149547,3346.514314896192,3782.0489250217997
appartement,6,525000,75013,BIBLIOTHEQUE FRANCOIS MITTERRAND,MARYSE BASTIE,OLYMPIADES,2,1,43,48.827202,2.373478,/annonces/appartement-paris-13e-r427700212,48.83007476916,2.377293642812,48.8243748794,2.37706873852,48.827035169,2.3670112583266665,424.80290640486623,410.23827294506805,474.2810000891179,3347.5747780142638,7000.146686640639,4585.201043158431,6740.437166279882,4022.8538732375946,5006.687740928169,7704.442101833232,4543.719123627647,2628.165837388539,7739.424550644804,6240.606513040307,645.8822230362099
appartement,13,790000,75018,BLANCHE,ABBESSES,PLACE DE CLICHY,2,1,44,48.885735,2.332774,/annonces/appartement-paris-18e-r428700711,48.883484736039996,2.33280405126,48.884540514166666,2.3383539603966668,48.883118616349996,2.3272234572712502,250.50789688078274,429.5542111464457,499.9152977393996,3856.170708716116,759.068461556513,2763.987819283984,4148.273388581301,3148.7398006674953,2909.477286482858,4191.4098522131035,3950.386504072355,4609.240459186412,3066.5258492043527,2647.948571296423,3873.3251875100004
appartement,11,910000,75116,BOISSIERE,KLEBER,VICTOR HUGO,2,1,56,48.869107,2.290209,/annonces/appartement-paris-16e-r428800204,48.8668561548,2.29003807345,48.86467128722857,2.2943563674385716,48.8698649125,2.28522620725,250.8753528449698,579.7012753417881,374.4847276282857,4731.714593233402,4339.092170133918,3612.114702517023,1247.6635107874238,4657.183060751556,2853.339589252922,7747.260203065554,3142.31712900228,5227.9404185480225,628.8705955109884,1645.0124740297194,735.8341985746946
studio,10,519000,75016,BOISSIERE,IENA,VICTOR HUGO,1,1,37,48.866944,2.289735,/annonces/appartement-paris-16e-75016-r429800681,48.8668561548,2.29003807345,48.8713061491,2.2933310209,48.8698649125,2.28522620725,24.252104774063096,552.3896841352358,463.3879972689702,4678.642477324444,4483.823294789751,3594.9255609861416,1027.710082819522,4648.6030247811905,2809.5113899032067,7874.421142230159,3020.0878723812,5147.424270999129,854.2054216392982,1649.046475732035,495.1821401856221
appartement,7,850000,75002,BONNE NOUVELLE,GRANDS BOULEVARDS,SENTIER,3,2,59,48.870366,2.3464,/annonces/appartement-paris-2e-75002-r430401224,48.8705767536,2.34849429371,48.871062455975,2.3430993364,48.8673773839,2.3470768150000003,155.13245200630044,253.81063231916093,336.3622604099827,1951.069333070254,1846.769790120205,1195.4133733055276,4032.587063961542,1175.471708175703,1859.7720198845043,4153.178070847947,2770.9412895313585,2700.4393767013353,3779.9053151993458,2546.010249612349,2168.023332994207
appartement,12,1475400,75007,BOSQUET - RAPP,ALMA - MARCEAU,IENA,4,3,91,48.860654,2.299627,/annonces/appartement-paris-7e-75007-r429501323,48.862245242283336,2.3018862385916665,48.864832067116666,2.3017505263833336,48.86467128722857,2.2943563674385716,242.38978405367476,490.41051980010786,590.7411611610657,3786.5202042995425,4308.939725659281,2812.8460917892135,460.4921398523431,3870.3474686836275,1975.856536535303,7556.544065679121,2025.9508913366296,4199.239763706679,1499.2376394723458,1107.5819308114649,911.0329483154012
